Carimbo de data/hora,1 - Qual sua idade?,2 - Qual o seu meio principal de informação?,3 - Como está sua rotina? ,4 - Tem usado quais utensílios de prevenção indicados contra o coronavírus?,5 - É a favor do isolamento social para contenção do vírus ? ,6 - Como você está se sentindo neste momento de pandemia?,7 - Qual(is) sua(s) ocupação(ões)?,8 - É/São em um serviço considerado essencial?,9 - Qual sua renda mensal per capita antes da pandemia do Coronavírus?,10 - Você teve a redução desta renda durante a pandemia?
2020/04/15 8:32:47 PM GMT-3,24,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Ansioso;Depressivo,CLT,Sim,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/15 9:00:51 PM GMT-3,24,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Luvas;Álcool em gel;Sabão,Sim,Preocupado,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/15 9:25:32 PM GMT-3,33,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Luvas;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/15 9:31:12 PM GMT-3,25,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Ansioso,Estudante;Bolsista,Não,"De R$ 522,50 a R$ 1045,00;",Não
2020/04/15 9:35:10 PM GMT-3,28,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante;CLT,Não,"De R$ 1045,00 a R$ 3135,00;","Sim, muito (mais da metade)"
2020/04/15 9:38:42 PM GMT-3,31,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Depressivo;Preocupado,Estudante;CLT,Não,"Até R$ 522,50;",Não
2020/04/15 9:38:52 PM GMT-3,42,"Redes sociais, amigos, familiares, grupos de whats.","Normal, saindo para estudo/trabalho presencial",Máscaras;Álcool em gel;Sabão,Não,Ansioso;Preocupado,CLT,Não,"De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
2020/04/15 9:44:04 PM GMT-3,25,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Normal,Estudante;Bolsista,Não,"De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
2020/04/15 9:49:18 PM GMT-3,24,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,CLT,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/15 9:52:01 PM GMT-3,18,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Normal,Estudante,Sim,"Até R$ 522,50;","Sim, pouco (menos da metade)"
2020/04/15 9:54:47 PM GMT-3,28,Trabalho/estudo na área da saúde,"Normal, saindo para estudo/trabalho presencial",Máscaras;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante;CLT,Não se aplica,"De R$ 522,50 a R$ 1045,00;",Não
2020/04/15 10:00:59 PM GMT-3,25,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal;Ansioso;Preocupado,Estudante;Autônomo,Não,"De R$ 522,50 a R$ 1045,00;",Não
2020/04/15 10:15:32 PM GMT-3,30,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Ansioso;Depressivo;Preocupado,Estudante;Desempregado,Não se aplica,"De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
2020/04/15 10:35:40 PM GMT-3,25,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Ansioso,Autônomo,Sim,"De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
2020/04/15 10:42:12 PM GMT-3,32,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante,Não,"De R$ 522,50 a R$ 1045,00;",Não
